Date,Open,High,Low,Close,Adj Close,Volume
15-04-97,3.666667,3.916667,3.416667,3.916667,3.916425,1785600
16-04-97,3.916667,4.166667,3.583333,3.708333,3.708104,443700
17-04-97,3.75,4.083333,3.75,3.833333,3.833096,252150
18-04-97,3.833333,4,3.833333,4,3.999753,165900
21-04-97,3.916667,4,3.916667,4,3.999753,77400
22-04-97,4,4,3.916667,3.916667,3.916425,81600
23-04-97,4,4.5,3.916667,4.5,4.499722,180600
24-04-97,4.5,5,4.416667,4.833333,4.833035,281550
25-04-97,4.916667,4.916667,4.416667,4.5,4.499722,114150
28-04-97,4.5,4.708333,4.333333,4.333333,4.333066,76650
29-04-97,4.333333,4.916667,4.333333,4.916667,4.916363,122250
30-04-97,4.75,5.083333,4.75,5.041667,5.041356,78450
01-05-97,5,5.166667,5,5.125,5.124683,33450
02-05-97,5,5,4.666667,5,4.999691,70200
05-05-97,4.833333,5,4.833333,4.833333,4.833035,12300
06-05-97,4.833333,4.916667,4.833333,4.833333,4.833035,64650
07-05-97,4.833333,4.916667,4.666667,4.916667,4.916363,37650
08-05-97,4.75,4.916667,4.75,4.75,4.749707,63600
09-05-97,4.916667,4.916667,4.75,4.833333,4.833035,35700
12-05-97,4.916667,5.666667,4.833333,5.416667,5.416333,289800
13-05-97,5.416667,5.666667,5.416667,5.666667,5.666317,24900
14-05-97,5.666667,5.666667,5.5,5.5,5.49966,207750
15-05-97,5.5,5.5,5.333333,5.333333,5.333004,75150
16-05-97,5.333333,5.5,5,5.5,5.49966,158250
19-05-97,5.333333,5.5,5.25,5.416667,5.416333,60600
20-05-97,5.416667,5.416667,5.25,5.25,5.249676,31950
21-05-97,5.25,5.333333,4.75,5.166667,5.166348,146550
22-05-97,5.166667,5.25,5.166667,5.166667,5.166348,26850
23-05-97,5.166667,5.25,5.083333,5.125,5.124683,42300
27-05-97,5.25,5.416667,5,5.333333,5.333004,156600
28-05-97,5.416667,5.416667,5.166667,5.333333,5.333004,36900
29-05-97,5.333333,5.666667,5.25,5.333333,5.333004,105300
30-05-97,5.333333,5.333333,5,5.25,5.249676,127500
02-06-97,5.291667,5.291667,5.25,5.25,5.249676,25950
03-06-97,5.25,5.583333,5.25,5.5,5.49966,184050
04-06-97,5.416667,5.541667,5.333333,5.333333,5.333004,47400
05-06-97,5.333333,5.5,5.333333,5.458333,5.457996,48000
06-06-97,5.5,5.5,5.333333,5.333333,5.333004,29850
09-06-97,5.333333,5.5,5.333333,5.333333,5.333004,23100
10-06-97,5.333333,5.416667,5.333333,5.333333,5.333004,14850
11-06-97,5.333333,5.416667,5.333333,5.416667,5.416333,5400
12-06-97,5.333333,6,5.333333,5.75,5.749645,213150
13-06-97,6,6,5.75,5.75,5.749645,55050
16-06-97,5.75,5.833333,5.75,5.75,5.749645,8250
17-06-97,5.833333,5.833333,5.583333,5.666667,5.666317,83850
18-06-97,5.666667,5.833333,5.5,5.583333,5.582988,67500
19-06-97,5.75,5.75,5.416667,5.5,5.49966,67500
20-06-97,5.416667,5.583333,5.416667,5.5,5.49966,19200
23-06-97,5.416667,5.5,5.416667,5.416667,5.416333,61500
24-06-97,5.416667,5.583333,5.416667,5.583333,5.582988,87900
25-06-97,5.416667,5.416667,5.083333,5.333333,5.333004,44550
